[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   Lepton1 pt = 158.92, y =  -0.04, phi =   0.47, m =   0.14
   Lepton2 pt =  96.35, y =  -0.02, phi =  -2.88, m =  -0.02
   bJetCandP4 pt = 259.24, y =  -0.02, phi =  -0.02, m =  17.57
   bJetCand2P4 pt =  38.13, y =  -0.63, phi =  -1.85, m =   7.15
   nuCandP4 pt = 212.30, y =   0.00, phi =  -2.10, m =  -0.04
   Lepton1 pt =  98.54, y =  -1.60, phi =  -0.44, m =   0.14
   Lepton2 pt =  48.95, y =  -1.84, phi =  -0.21, m =   0.14
   bJetCandP4 pt = 358.17, y =  -1.77, phi =  -0.31, m =  61.38
   bJetCand2P4 pt = 358.17, y =  -1.77, phi =  -0.31, m =  61.38
   nuCandP4 pt = 172.20, y =   0.00, phi =   0.12, m =  -0.05
   Lepton1 pt =  47.73, y =  -1.05, phi =  -0.52, m =   0.14
   Lepton2 pt =  71.06, y =   2.12, phi =  -2.88, m =   0.04
   bJetCandP4 pt = 231.89, y =  -0.27, phi =  -1.64, m =  22.08
   bJetCand2P4 pt = 119.91, y =   0.93, phi =   2.19, m =  28.11
   nuCandP4 pt = 130.12, y =   0.00, phi =  -1.48, m =   0.04
   Lepton1 pt = 342.61, y =  -0.68, phi =  -1.15, m =   0.14
   Lepton2 pt = 205.74, y =  -0.57, phi =   1.97, m =   0.14
   bJetCandP4 pt = 156.86, y =  -0.85, phi =  -1.38, m =  24.68
   bJetCand2P4 pt = 163.53, y =  -0.37, phi =   2.02, m =  14.98
   nuCandP4 pt =  47.74, y =   0.00, phi =   1.49, m =  -0.01
    ---> Event 1000
   Lepton1 pt =  67.37, y =   0.39, phi =   2.17, m =   0.14
   Lepton2 pt =  38.92, y =   0.69, phi =   1.86, m =  -0.01
   bJetCandP4 pt = 119.45, y =   0.81, phi =   2.00, m =  16.73
   bJetCand2P4 pt = 119.45, y =   0.81, phi =   2.00, m =  16.73
   nuCandP4 pt = 602.71, y =   0.00, phi =   2.18, m =  -0.09
   Lepton1 pt =  66.96, y =  -1.03, phi =  -1.50, m =   0.14
   Lepton2 pt =  37.56, y =  -0.11, phi =  -2.06, m =   0.14
   bJetCandP4 pt = 230.29, y =  -0.51, phi =  -1.39, m =  19.26
   bJetCand2P4 pt = 272.06, y =   0.05, phi =  -1.88, m =  43.05
   nuCandP4 pt = 263.49, y =   0.00, phi =  -1.84, m =  -0.04
   Lepton1 pt =  97.15, y =  -1.83, phi =  -2.09, m =   0.14
   Lepton2 pt =  44.84, y =  -1.35, phi =  -1.91, m =   0.14
   bJetCandP4 pt = 206.54, y =  -1.34, phi =  -2.01, m =  31.39
   bJetCand2P4 pt = 206.54, y =  -1.34, phi =  -2.01, m =  31.39
   nuCandP4 pt = 267.34, y =   0.00, phi =   0.72, m =  -0.03
   Lepton1 pt =  47.08, y =   0.80, phi =  -0.00, m =   0.14
   Lepton2 pt =  65.15, y =   1.11, phi =   1.80, m =  -0.03
   bJetCandP4 pt = 421.66, y =   0.57, phi =   1.11, m =  47.84
   bJetCand2P4 pt = 421.66, y =   0.57, phi =   1.11, m =  47.84
   nuCandP4 pt = 296.74, y =   0.00, phi =   2.22, m =  -0.03
    ---> Event 2000
   Lepton1 pt = 154.27, y =  -1.15, phi =   0.83, m =   0.14
   Lepton2 pt = 101.39, y =  -0.75, phi =  -1.77, m =  -0.04
   bJetCandP4 pt =  91.55, y =  -1.54, phi =   1.53, m =  18.61
   bJetCand2P4 pt = 361.95, y =  -0.34, phi =  -1.97, m =  27.90
   nuCandP4 pt = 193.95, y =   0.00, phi =  -0.07, m =  -0.03
   Lepton1 pt =  47.16, y =  -1.43, phi =   2.49, m =   0.14
   Lepton2 pt =  96.11, y =   1.58, phi =  -1.61, m =   0.07
   bJetCandP4 pt =  33.86, y =   1.44, phi =  -2.54, m =   5.57
   bJetCand2P4 pt = 135.03, y =   0.97, phi =  -1.63, m =  10.70
   nuCandP4 pt = 153.68, y =   0.00, phi =   1.40, m =  -0.03
   Lepton1 pt =  65.90, y =  -0.48, phi =  -0.97, m =   0.14
   Lepton2 pt =  55.89, y =  -0.47, phi =  -0.99, m =   0.14
   bJetCandP4 pt = 892.48, y =  -0.34, phi =  -0.99, m = 131.13
   bJetCand2P4 pt = 892.48, y =  -0.34, phi =  -0.99, m = 131.13
   nuCandP4 pt =  39.94, y =   0.00, phi =   2.17, m =   0.01
    ---> Event 3000
   Lepton1 pt = 194.54, y =   1.64, phi =  -0.08, m =   0.14
   Lepton2 pt =  37.28, y =  -2.44, phi =  -2.88, m =   0.07
   bJetCandP4 pt =  41.17, y =   1.50, phi =  -1.17, m =  10.00
   bJetCand2P4 pt =  54.18, y =  -1.54, phi =  -2.88, m =   7.05
   nuCandP4 pt =  61.95, y =   0.00, phi =   0.19, m =   0.00
   Lepton1 pt =  88.96, y =   0.97, phi =  -0.46, m =   0.14
   Lepton2 pt =  42.58, y =   1.33, phi =   0.06, m =   0.14
   bJetCandP4 pt = 355.78, y =   1.40, phi =   0.19, m =  72.09
   bJetCand2P4 pt = 355.78, y =   1.40, phi =   0.19, m =  72.09
   nuCandP4 pt =  23.73, y =   0.00, phi =   1.15, m =   0.00
   Lepton1 pt = 175.71, y =  -1.13, phi =   2.86, m =   0.14
   Lepton2 pt =  97.26, y =   1.14, phi =  -0.91, m =   0.06
   bJetCandP4 pt = 114.74, y =  -0.35, phi =   2.92, m =  13.26
   bJetCand2P4 pt =  72.46, y =   1.01, phi =  -0.59, m =  11.72
   nuCandP4 pt = 118.41, y =   0.00, phi =   2.55, m =  -0.02
   Lepton1 pt =  43.21, y =  -0.27, phi =  -0.24, m =   0.14
   Lepton2 pt =  41.15, y =  -1.49, phi =  -2.17, m =   0.14
   bJetCandP4 pt = 203.34, y =  -0.44, phi =  -0.31, m =  42.82
   bJetCand2P4 pt = 487.27, y =  -1.57, phi =   2.99, m =  89.25
   nuCandP4 pt =  77.02, y =   0.00, phi =   2.62, m =   0.01
   Lepton1 pt = 192.59, y =  -0.91, phi =  -0.04, m =   0.14
   Lepton2 pt =  48.07, y =   0.73, phi =   2.97, m =  -0.02
   bJetCandP4 pt =  67.89, y =  -0.69, phi =  -2.68, m =  13.41
   bJetCand2P4 pt =  90.45, y =   0.08, phi =  -2.59, m =   7.03
   nuCandP4 pt =  60.67, y =   0.00, phi =   1.83, m =   0.01
   Lepton1 pt =  49.24, y =  -0.95, phi =   0.23, m =   0.14
   Lepton2 pt = 192.90, y =   1.05, phi =  -2.19, m =  -0.05
   bJetCandP4 pt =  62.27, y =  -1.22, phi =  -0.47, m =   8.13
   bJetCand2P4 pt = 171.86, y =   1.28, phi =  -2.05, m =  27.54
   nuCandP4 pt =  66.67, y =   0.00, phi =   1.80, m =  -0.02
   Lepton1 pt =  41.88, y =   1.96, phi =  -0.80, m =   0.14
   Lepton2 pt =  31.78, y =  -0.87, phi =  -0.38, m =   0.14
   bJetCandP4 pt =  47.90, y =   0.28, phi =   0.53, m =   7.39
   bJetCand2P4 pt = 238.36, y =  -0.98, phi =   1.02, m =  28.83
   nuCandP4 pt = 100.41, y =   0.00, phi =   0.09, m =   0.02
   Lepton1 pt =  69.64, y =   0.06, phi =   1.36, m =   0.14
   Lepton2 pt =  53.25, y =   1.08, phi =  -0.46, m =   0.14
   bJetCandP4 pt = 272.49, y =   0.30, phi =   0.02, m =  20.16
   bJetCand2P4 pt = 272.49, y =   0.30, phi =   0.02, m =  20.16
   nuCandP4 pt = 247.21, y =   0.00, phi =   0.21, m =   0.03
    ---> Event 4000
