[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_5.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M2000GeV_W20GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215500/0000/B2GEDMNtuple_1.root
   theLepton pt =  73.20, y =  -0.37, phi =  -1.26, m =   0.14
   bJetCandP4 pt = 574.43, y =  -0.22, phi =  -1.27, m =  69.98
   hadTopCandP4 pt = 901.37, y =  -0.12, phi =  -1.36, m = 251.58
   nuCandP4 pt =  63.21, y =   0.03, phi =   1.19, m =  -1.72
   theLepton pt =  64.67, y =   0.53, phi =  -2.11, m =   0.14
   bJetCandP4 pt = 743.05, y =   0.47, phi =  -2.19, m = 117.88
   hadTopCandP4 pt = 955.68, y =   0.52, phi =  -2.22, m = 240.76
   nuCandP4 pt =  31.78, y =    nan, phi =  -3.03, m = -31.86
   theLepton pt =  91.70, y =  -0.84, phi =   0.16, m =   0.14
   bJetCandP4 pt = 753.73, y =  -0.74, phi =   0.39, m = 144.44
   hadTopCandP4 pt = 863.38, y =  -0.75, phi =   0.37, m = 194.06
   nuCandP4 pt =  22.59, y =   0.48, phi =   1.36, m = -10.05
   theLepton pt = 301.89, y =   1.22, phi =  -2.52, m =   0.14
   bJetCandP4 pt = 705.72, y =   1.24, phi =  -2.58, m = 115.28
   hadTopCandP4 pt = 1073.50, y =   1.24, phi =  -2.56, m = 206.09
   nuCandP4 pt =  79.99, y =    nan, phi =  -1.95, m = -120.51
   theLepton pt =  32.94, y =  -0.32, phi =   2.55, m =   0.14
   bJetCandP4 pt = 431.87, y =  -0.14, phi =   2.51, m =  78.24
   hadTopCandP4 pt = 546.41, y =  -0.12, phi =   2.45, m = 161.78
   nuCandP4 pt =  90.81, y =    nan, phi =   2.39, m = -112.34
   theLepton pt =  35.27, y =   0.14, phi =   2.29, m =   0.14
   bJetCandP4 pt = 825.01, y =   0.39, phi =   2.37, m = 159.39
   hadTopCandP4 pt = 975.80, y =   0.29, phi =   2.37, m = 313.76
   nuCandP4 pt =  42.40, y =  -0.46, phi =  -0.83, m = -18.26
   theLepton pt =  55.42, y =  -0.44, phi =   1.51, m =   0.14
   bJetCandP4 pt = 522.82, y =  -1.53, phi =   2.24, m =  93.22
   hadTopCandP4 pt = 716.88, y =  -1.49, phi =   2.42, m = 243.36
   nuCandP4 pt =  74.14, y =   0.23, phi =   0.40, m = -16.91
   theLepton pt = 142.39, y =  -1.02, phi =  -2.75, m =  -0.03
   bJetCandP4 pt = 521.92, y =  -1.23, phi =  -2.69, m = 106.21
   hadTopCandP4 pt = 629.13, y =  -1.13, phi =  -2.63, m = 212.65
   nuCandP4 pt =  31.31, y =  -0.64, phi =  -0.92, m = -17.75
   theLepton pt = 222.77, y =  -1.31, phi =   1.52, m =   0.14
   bJetCandP4 pt = 607.91, y =  -1.24, phi =   1.68, m = 126.41
   hadTopCandP4 pt = 894.11, y =  -1.23, phi =   1.62, m = 211.54
   nuCandP4 pt =  30.81, y =  -0.75, phi =   0.87, m = -19.53
   theLepton pt =  92.61, y =   1.29, phi =  -1.00, m =   0.14
   bJetCandP4 pt = 331.23, y =   1.06, phi =  -1.56, m =  38.56
   hadTopCandP4 pt = 487.19, y =   1.11, phi =  -1.51, m = 172.95
   nuCandP4 pt =  33.76, y =   0.15, phi =  -0.19, m =  -4.97
   theLepton pt = 127.14, y =  -0.61, phi =  -1.05, m =   0.14
   bJetCandP4 pt = 670.00, y =  -0.58, phi =  -0.80, m = 135.26
   hadTopCandP4 pt = 827.02, y =  -0.59, phi =  -0.84, m = 199.13
   nuCandP4 pt =  69.41, y =   0.44, phi =   2.01, m = -28.48
   theLepton pt = 292.63, y =  -1.09, phi =  -2.66, m =   0.14
   bJetCandP4 pt = 367.70, y =  -0.67, phi =  -2.57, m =  32.56
   hadTopCandP4 pt = 755.47, y =  -0.79, phi =  -2.59, m = 242.05
   nuCandP4 pt =  30.43, y =    nan, phi =  -1.56, m = -32.76
   theLepton pt =  67.57, y =   1.25, phi =  -2.72, m =   0.14
   bJetCandP4 pt = 329.61, y =   1.36, phi =  -2.71, m =  60.63
   hadTopCandP4 pt = 635.56, y =   1.26, phi =  -2.93, m = 242.41
   nuCandP4 pt =  23.49, y =  -0.52, phi =  -2.14, m = -11.26
   theLepton pt =  95.18, y =  -1.86, phi =  -1.30, m =   0.14
   bJetCandP4 pt = 598.94, y =  -1.92, phi =  -1.34, m =  80.00
   hadTopCandP4 pt = 740.09, y =  -1.95, phi =  -1.39, m = 190.36
