[?1034hTDR Style initialized
Getting L3 for AK4
Getting L2 for AK4
Getting L1 for AK4
Getting L3 for AK8
Getting L2 for AK8
Getting L1 for AK8
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_1.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_2.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_3.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_4.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_5.root
Added /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_6.root
Processing file /eos/uscms/store/user/rappocc/ZPrimeToTTJets_M3000GeV_W30GeV_Tune4C_13TeV-madgraph-tauola/B2GAnaFW_PHYS14/150219_215521/0000/B2GEDMNtuple_1.root
   Lepton1 pt = 150.65, y =  -1.57, phi =  -1.77, m =   0.14
   Lepton2 pt =  36.75, y =  -1.32, phi =  -2.07, m =   0.14
   bJetCandP4 pt = 342.13, y =  -1.31, phi =  -2.01, m =  45.82
   bJetCand2P4 pt = 342.13, y =  -1.31, phi =  -2.01, m =  45.82
   nuCandP4 pt = 114.73, y =   0.00, phi =  -1.77, m =  -0.02
   Lepton1 pt =  76.79, y =   0.18, phi =   2.54, m =   0.14
   Lepton2 pt =  53.92, y =  -0.38, phi =   0.97, m =   0.14
   bJetCandP4 pt =  80.54, y =   0.90, phi =   1.77, m =  16.21
   bJetCand2P4 pt = 618.72, y =  -0.06, phi =   0.33, m =  89.49
   nuCandP4 pt = 418.63, y =   0.00, phi =   0.98, m =  -0.05
   Lepton1 pt =  88.96, y =  -0.72, phi =   0.14, m =   0.14
   Lepton2 pt =  71.70, y =  -0.71, phi =   0.15, m =   0.14
   bJetCandP4 pt = 434.45, y =  -0.52, phi =   0.22, m =  64.49
   bJetCand2P4 pt = 434.45, y =  -0.52, phi =   0.22, m =  64.49
   nuCandP4 pt = 499.36, y =   0.00, phi =   0.02, m =   0.10
   Lepton1 pt =  52.69, y =   1.02, phi =   0.50, m =   0.14
   Lepton2 pt =  91.46, y =  -1.26, phi =   2.76, m =  -0.04
   bJetCandP4 pt = 196.30, y =   1.39, phi =   0.08, m =  16.52
   bJetCand2P4 pt =  95.19, y =  -1.27, phi =  -2.71, m =  17.56
   nuCandP4 pt =  80.75, y =   0.00, phi =   2.90, m =   0.01
   Lepton1 pt =  41.73, y =   1.68, phi =  -0.68, m =   0.14
   Lepton2 pt =  80.25, y =   0.40, phi =  -0.75, m =  -0.03
   bJetCandP4 pt = 304.20, y =   1.30, phi =  -1.20, m =  37.31
   bJetCand2P4 pt = 407.28, y =   0.17, phi =  -0.58, m =  18.26
   nuCandP4 pt = 430.59, y =   0.00, phi =  -1.05, m =   0.08
   Lepton1 pt = 116.07, y =  -0.18, phi =  -1.33, m =   0.14
   Lepton2 pt =  64.31, y =  -0.77, phi =   0.10, m =   0.14
   bJetCandP4 pt = 194.98, y =  -0.89, phi =  -2.00, m =  29.27
   bJetCand2P4 pt = 542.24, y =  -0.55, phi =  -0.07, m =  34.08
   nuCandP4 pt = 323.01, y =   0.00, phi =  -0.53, m =   0.08
   Lepton1 pt = 539.29, y =  -0.58, phi =   1.15, m =   0.14
   Lepton2 pt =  39.94, y =  -0.04, phi =   0.04, m =  -0.01
   bJetCandP4 pt = 320.91, y =  -0.39, phi =   1.16, m =  34.31
   bJetCand2P4 pt = 320.91, y =  -0.39, phi =   1.16, m =  34.31
   nuCandP4 pt = 720.61, y =   0.00, phi =   0.96, m =   0.12
    ---> Event 1000
   Lepton1 pt = 120.36, y =   0.59, phi =  -3.06, m =   0.14
   Lepton2 pt = 137.27, y =   0.22, phi =   3.12, m =  -0.04
   bJetCandP4 pt = 548.81, y =   0.64, phi =  -3.04, m =  64.63
   bJetCand2P4 pt = 548.81, y =   0.64, phi =  -3.04, m =  64.63
   nuCandP4 pt = 213.93, y =   0.00, phi =   2.91, m =   0.03
   Lepton1 pt =  53.00, y =   0.91, phi =  -1.77, m =   0.14
   Lepton2 pt =  73.63, y =   1.36, phi =  -1.49, m =   0.00
   bJetCandP4 pt = 716.71, y =   0.92, phi =  -1.83, m =  65.00
   bJetCand2P4 pt = 716.71, y =   0.92, phi =  -1.83, m =  65.00
   nuCandP4 pt = 339.75, y =   0.00, phi =  -1.89, m =  -0.08
   Lepton1 pt = 173.36, y =  -0.17, phi =   0.32, m =   0.14
   Lepton2 pt = 129.36, y =  -0.80, phi =  -0.96, m =   0.14
   bJetCandP4 pt =  90.45, y =  -0.24, phi =  -0.41, m =  15.77
   bJetCand2P4 pt =  90.45, y =  -0.24, phi =  -0.41, m =  15.77
   nuCandP4 pt =  32.87, y =   0.00, phi =  -3.12, m =   0.01
   Lepton1 pt = 311.54, y =  -0.84, phi =   2.38, m =   0.14
   Lepton2 pt = 276.14, y =  -0.17, phi =   0.56, m =   0.14
   bJetCandP4 pt =  95.40, y =  -0.34, phi =   2.06, m =  12.12
   bJetCand2P4 pt =  52.11, y =   0.60, phi =   1.13, m =  11.06
   nuCandP4 pt = 470.38, y =   0.00, phi =   1.56, m =  -0.07
    ---> Event 2000
   Lepton1 pt =  95.09, y =  -1.87, phi =   0.58, m =   0.14
   Lepton2 pt =  53.75, y =   0.19, phi =   1.47, m =  -0.01
   bJetCandP4 pt =  87.88, y =  -0.30, phi =   1.62, m =  14.15
   bJetCand2P4 pt = 378.43, y =   0.29, phi =   1.91, m =  28.11
   nuCandP4 pt = 150.58, y =   0.00, phi =   1.25, m =  -0.04
   Lepton1 pt =  48.05, y =   0.44, phi =  -2.76, m =   0.14
   Lepton2 pt = 276.82, y =  -0.05, phi =  -2.69, m =   0.04
   bJetCandP4 pt = 161.01, y =   0.50, phi =  -2.87, m =  27.38
   bJetCand2P4 pt = 173.16, y =  -0.18, phi =  -2.46, m =  26.01
   nuCandP4 pt = 640.47, y =   0.00, phi =  -2.46, m =   0.11
   Lepton1 pt = 173.86, y =   0.02, phi =   0.15, m =   0.14
   Lepton2 pt =  41.12, y =  -0.01, phi =   0.17, m =   0.14
   bJetCandP4 pt = 1077.26, y =   0.12, phi =   0.18, m = 145.65
   bJetCand2P4 pt = 1077.26, y =   0.12, phi =   0.18, m = 145.65
   nuCandP4 pt =  38.91, y =   0.00, phi =   0.12, m =  -0.01
    ---> Event 3000
   Lepton1 pt = 279.46, y =   0.38, phi =   3.04, m =   0.14
   Lepton2 pt = 113.07, y =   1.42, phi =   1.19, m =   0.14
   bJetCandP4 pt = 115.95, y =   0.68, phi =   2.87, m =  19.68
   bJetCand2P4 pt =  88.41, y =   0.91, phi =   1.34, m =   9.26
   nuCandP4 pt = 543.02, y =   0.00, phi =   3.13, m =  -0.17
   Lepton1 pt =  34.92, y =   0.47, phi =  -2.80, m =   0.14
   Lepton2 pt =  70.70, y =  -0.49, phi =   2.45, m =  -0.01
   bJetCandP4 pt = 1077.79, y =   0.62, phi =  -2.67, m = 210.26
   bJetCand2P4 pt =  38.61, y =  -0.68, phi =   0.87, m =   6.13
   nuCandP4 pt =  55.79, y =   0.00, phi =  -2.82, m =  -0.01
   Lepton1 pt = 299.97, y =   0.39, phi =  -0.22, m =   0.14
   Lepton2 pt =  32.70, y =  -1.15, phi =  -1.67, m =   0.02
   bJetCandP4 pt =  61.33, y =   0.33, phi =  -0.89, m =   8.06
   bJetCand2P4 pt = 608.22, y =  -0.38, phi =  -2.07, m =  90.72
   nuCandP4 pt = 264.72, y =   0.00, phi =  -1.67, m =   0.02
   Lepton1 pt =  81.41, y =  -1.12, phi =  -0.13, m =   0.14
   Lepton2 pt = 101.07, y =   1.08, phi =   2.92, m =   0.04
   bJetCandP4 pt =  82.75, y =  -1.59, phi =  -0.17, m =  10.28
   bJetCand2P4 pt = 103.59, y =   0.59, phi =   3.13, m =  17.26
   nuCandP4 pt =  61.70, y =   0.00, phi =   0.01, m =  -0.01
   Lepton1 pt =  30.41, y =   0.37, phi =  -0.91, m =   0.14
   Lepton2 pt = 227.00, y =   0.67, phi =  -1.28, m =   0.08
   bJetCandP4 pt = 245.26, y =   0.46, phi =  -1.06, m =  39.39
   bJetCand2P4 pt = 245.26, y =   0.46, phi =  -1.06, m =  39.39
   nuCandP4 pt = 641.31, y =   0.00, phi =  -1.14, m =   0.14
    ---> Event 4000
    ---> Event 5000
   Lepton1 pt =  47.59, y =  -0.73, phi =   3.05, m =   0.14
   Lepton2 pt = 125.39, y =  -1.02, phi =   2.94, m =  -0.04
   bJetCandP4 pt = 440.28, y =  -0.75, phi =   2.91, m =  45.77
   bJetCand2P4 pt = 440.28, y =  -0.75, phi =   2.91, m =  45.77
   nuCandP4 pt = 754.73, y =   0.00, phi =  -3.11, m =  -0.07
   Lepton1 pt = 121.96, y =  -2.01, phi =  -2.10, m =   0.14
   Lepton2 pt = 135.46, y =   0.06, phi =   2.17, m =   0.05
   bJetCandP4 pt =  63.66, y =   0.98, phi =   2.74, m =   9.52
   bJetCand2P4 pt =  63.66, y =   0.98, phi =   2.74, m =   9.52
   nuCandP4 pt = 156.72, y =   0.00, phi =  -1.47, m =  -0.03
   Lepton1 pt = 730.92, y =  -0.17, phi =  -2.54, m =   0.14
   Lepton2 pt = 282.05, y =  -0.26, phi =  -2.71, m =   0.14
   bJetCandP4 pt = 323.33, y =  -0.23, phi =  -2.64, m =  40.28
   bJetCand2P4 pt = 323.33, y =  -0.23, phi =  -2.64, m =  40.28
   nuCandP4 pt = 141.35, y =   0.00, phi =  -2.87, m =   0.00
   Lepton1 pt =  64.24, y =  -0.93, phi =   0.30, m =   0.14
   Lepton2 pt =  63.52, y =  -1.20, phi =  -0.24, m =  -0.02
   bJetCandP4 pt = 404.99, y =  -0.89, phi =   0.24, m =  46.98
   bJetCand2P4 pt = 404.99, y =  -0.89, phi =   0.24, m =  46.98
   nuCandP4 pt = 168.44, y =   0.00, phi =   0.01, m =  -0.03
    ---> Event 6000
   Lepton1 pt = 253.49, y =   1.23, phi =  -2.26, m =   0.14
   Lepton2 pt = 124.88, y =  -0.61, phi =   1.24, m =  -0.04
   bJetCandP4 pt =  37.18, y =   0.63, phi =  -1.17, m =   6.19
   bJetCand2P4 pt = 148.75, y =   0.01, phi =   1.03, m =  26.52
   nuCandP4 pt = 197.87, y =   0.00, phi =   1.88, m =   0.05
   Lepton1 pt = 166.45, y =   1.07, phi =  -0.53, m =   0.14
   Lepton2 pt =  71.23, y =   1.08, phi =  -0.52, m =   0.14
   bJetCandP4 pt = 591.00, y =   1.06, phi =  -0.28, m =  96.92
   bJetCand2P4 pt = 591.00, y =   1.06, phi =  -0.28, m =  96.92
   nuCandP4 pt = 133.70, y =   0.00, phi =  -0.44, m =   0.01
   Lepton1 pt =  34.55, y =  -0.46, phi =  -0.14, m =   0.14
   Lepton2 pt =  30.66, y =  -0.48, phi =  -0.16, m =   0.14
   bJetCandP4 pt = 1092.22, y =  -0.42, phi =   0.06, m = 120.20
   bJetCand2P4 pt = 1092.22, y =  -0.42, phi =   0.06, m = 120.20
   nuCandP4 pt = 191.42, y =   0.00, phi =  -0.03, m =  -0.05
   Lepton1 pt = 690.97, y =  -1.24, phi =   1.22, m =   0.14
   Lepton2 pt =  46.23, y =  -0.98, phi =   1.26, m =   0.14
   bJetCandP4 pt = 462.99, y =  -1.08, phi =   1.24, m =  68.38
   bJetCand2P4 pt = 462.99, y =  -1.08, phi =   1.24, m =  68.38
   nuCandP4 pt =  22.83, y =   0.00, phi =  -0.06, m =   0.00
    ---> Event 7000
   Lepton1 pt =  61.11, y =  -0.95, phi =   1.60, m =   0.14
   Lepton2 pt =  36.02, y =  -0.95, phi =   1.58, m =   0.14
   bJetCandP4 pt = 1274.22, y =  -1.17, phi =   1.63, m = 139.78
   bJetCand2P4 pt = 1274.22, y =  -1.17, phi =   1.63, m = 139.78
   nuCandP4 pt =  44.09, y =   0.00, phi =   1.07, m =   0.01
   Lepton1 pt = 128.99, y =   0.11, phi =   0.32, m =   0.14
   Lepton2 pt =  57.55, y =   0.13, phi =   0.32, m =   0.14
   bJetCandP4 pt = 647.70, y =   0.04, phi =   0.35, m = 100.44
   bJetCand2P4 pt = 647.70, y =   0.04, phi =   0.35, m = 100.44
   nuCandP4 pt = 233.53, y =   0.00, phi =   0.34, m =   0.04
   Lepton1 pt = 590.76, y =  -0.62, phi =  -2.30, m =   0.14
   Lepton2 pt =  83.93, y =  -0.70, phi =  -2.20, m =   0.14
   bJetCandP4 pt = 488.92, y =  -0.76, phi =  -2.20, m =  50.01
   bJetCand2P4 pt = 488.92, y =  -0.76, phi =  -2.20, m =  50.01
   nuCandP4 pt =  68.12, y =   0.00, phi =  -2.29, m =  -0.01
    ---> Event 8000
   Lepton1 pt = 192.96, y =  -0.65, phi =  -0.40, m =   0.14
   Lepton2 pt = 163.63, y =   0.74, phi =   0.30, m =   0.14
   bJetCandP4 pt =  80.07, y =  -1.22, phi =   0.01, m =  13.44
   bJetCand2P4 pt = 184.03, y =   1.30, phi =   0.73, m =  20.30
   nuCandP4 pt = 375.08, y =   0.00, phi =  -0.15, m =   0.10
   Lepton1 pt =  58.98, y =  -1.18, phi =   0.98, m =   0.14
   Lepton2 pt =  36.50, y =  -1.21, phi =   0.96, m =   0.14
   bJetCandP4 pt = 787.81, y =  -1.06, phi =   0.95, m = 139.33
   bJetCand2P4 pt = 787.81, y =  -1.06, phi =   0.95, m = 139.33
   nuCandP4 pt =  24.83, y =   0.00, phi =   2.01, m =  -0.00
    ---> Event 9000
   Lepton1 pt = 162.97, y =   0.85, phi =   2.96, m =   0.14
   Lepton2 pt =  63.19, y =   1.00, phi =   2.79, m =   0.14
   bJetCandP4 pt = 247.63, y =   1.12, phi =   2.87, m =  41.68
   bJetCand2P4 pt = 247.63, y =   1.12, phi =   2.87, m =  41.68
   nuCandP4 pt = 109.57, y =   0.00, phi =  -2.88, m =  -0.01
   Lepton1 pt = 149.50, y =   0.34, phi =   2.00, m =   0.14
   Lepton2 pt =  32.32, y =   0.75, phi =   2.15, m =   0.14
   bJetCandP4 pt = 244.73, y =   0.79, phi =   2.07, m =  26.81
   bJetCand2P4 pt = 244.73, y =   0.79, phi =   2.07, m =  26.81
   nuCandP4 pt =  67.79, y =   0.00, phi =   1.75, m =  -0.01
   Lepton1 pt = 182.49, y =   0.55, phi =   1.69, m =   0.14
   Lepton2 pt =  33.70, y =  -2.01, phi =  -2.85, m =   0.04
   bJetCandP4 pt = 290.28, y =   0.81, phi =   1.42, m =  25.04
   bJetCand2P4 pt =  99.13, y =  -0.92, phi =  -2.08, m =  15.20
   nuCandP4 pt =  84.96, y =   0.00, phi =   0.51, m =  -0.01
    ---> Event 10000
   Lepton1 pt =  62.29, y =   1.23, phi =  -1.15, m =   0.14
   Lepton2 pt =  55.03, y =   1.03, phi =  -1.24, m =   0.14
   bJetCandP4 pt = 367.26, y =   1.14, phi =  -1.20, m =  66.90
   bJetCand2P4 pt = 367.26, y =   1.14, phi =  -1.20, m =  66.90
   nuCandP4 pt = 124.57, y =   0.00, phi =  -1.31, m =   0.03
   Lepton1 pt = 113.64, y =  -0.98, phi =   1.68, m =   0.03
   Lepton2 pt =  89.65, y =   1.62, phi =  -1.98, m =   0.07
   bJetCandP4 pt =  50.09, y =  -0.29, phi =   1.23, m =  13.44
   bJetCand2P4 pt =  40.72, y =  -1.10, phi =   0.37, m =   8.06
   nuCandP4 pt =  30.80, y =   0.00, phi =  -2.01, m =  -0.01
   Lepton1 pt = 160.77, y =  -0.28, phi =   2.47, m =   0.14
   Lepton2 pt =  84.10, y =  -0.39, phi =   2.25, m =   0.14
   bJetCandP4 pt = 497.25, y =  -0.42, phi =   2.29, m =  86.94
   bJetCand2P4 pt = 497.25, y =  -0.42, phi =   2.29, m =  86.94
   nuCandP4 pt =  70.11, y =   0.00, phi =   2.37, m =   0.01
    ---> Event 11000
   Lepton1 pt =  30.85, y =  -0.01, phi =  -1.49, m =   0.14
   Lepton2 pt =  30.04, y =   0.02, phi =  -1.52, m =   0.14
   bJetCandP4 pt = 830.38, y =  -0.09, phi =  -1.75, m = 110.65
   bJetCand2P4 pt = 830.38, y =  -0.09, phi =  -1.75, m = 110.65
   nuCandP4 pt = 255.71, y =   0.00, phi =  -1.69, m =   0.03
